authorisationnumber	concept_id	concept_name	concept_code	mapping_typ
48972	35606514	cyclophosphamide 1000 MG Injection	1734919	EXACT
48985	790315	clorazepate dipotassium 5 MG Oral Capsule	618737	EXACT
48986	790332	clorazepate dipotassium 10 MG Oral Capsule	618747	EXACT
49.028	40224899	doxepin 25 MG Oral Capsule [Sinequan]	1000074	EXACT
49.034	19019811	rifampin 300 MG Oral Capsule	198202	
49.152	997892	clindamycin 150 MG Oral Capsule	197518	
49.154	35605640	cytarabine Injection	1731354	BROAD
49.302	1126750	acetaminophen 100 MG/ML Oral Solution	238159	EXACT
49.340	19095325	cholestyramine resin 4000 MG Powder for Oral Suspension	848943	EXACT
49.503	745825	pimozide 1 MG Oral Tablet [Orap]	262226	EXACT
49.504	19004631	pimozide 4 MG Oral Tablet	104748	EXACT
49.550	19041843	carbocysteine	2023	BROAD
49.591	700253	thiopental	10493	BROAD
49.656	40163059	clomipramine hydrochloride 10 MG Oral Tablet	857291	EXACT
49.768	35606536	methylprednisolone 125 MG Injection [Solu-Medrol]	1743707	EXACT
49.796	19019113	lorazepam 1 MG Oral Tablet	197901	EXACT
49.811	1593935	sodium bicarbonate Injection	1868187	EXACT
49.869	36249588	glucose / sodium chloride Injection	1794561	BROAD
49.875	40158849	ascorbic acid Oral Powder	846044	BROAD
49275	40243831	fluocinolone acetonide 0.00025 MG/MG	1191255	EXACT
49386	19016756	benzbromarone 100 MG Oral Tablet	249644	EXACT
49818	19103552	niflumic acid 250 MG Oral Capsule	410908	EXACT
5.567	733531	rivastigmine 6 MG Oral Capsule	312836	
50.031	40243831	fluocinolone acetonide 0.00025 MG/MG	1191255	EXACT
50.043	19014880	azathioprine 50 MG Oral Tablet	197388	
50.239	19024414	amoxicillin 500 MG Oral Capsule [Amoxil]	200998	EXACT
50.669	42707371	clonidine hydrochloride 0.15 MG Oral Tablet	1233709	EXACT
50.883	19041843	carbocysteine	2023	BROAD
50.893	19060193	fosfomycin 500 MG Oral Capsule	246096	EXACT
50271	19007149	miconazole nitrate 20 MG/ML Topical Cream [Daktarin]	105479	EXACT
50337	19077682	glyburide 5 MG Oral Tablet	310537	EXACT
50355	19021578	pyrantel 250 MG Oral Tablet	199344	EXACT
50537	35606532	methylprednisolone Injection	1743703	BROAD
50891	40171917	verapamil hydrochloride 80 MG Oral Tablet	897683	EXACT
51.064	40162672	amitriptyline hydrochloride 10 MG Oral Tablet	856783	EXACT
51.200	1794307	mebendazole 100 MG Oral Tablet	311464	EXACT
51.208	723042	diazepam 5 MG Oral Tablet	197591	EXACT
51.224	724911	biperiden 4 MG Extended Release Oral Tablet	246311	
51.293	19077638	glipizide 5 MG Oral Tablet	310490	EXACT
51.347	36890898	Ascorbic Acid 240 MG / Aspirin 400 MG Effervescent Oral Tablet	OMOP1003528	EXACT
51.612	40163460	trazodone hydrochloride 100 MG Oral Tablet	856373	EXACT
51.648	42800985	maprotiline hydrochloride 25 MG Oral Tablet [Ludiomil]	1298859	EXACT
51.714	19024414	amoxicillin 500 MG Oral Capsule [Amoxil]	200998	EXACT
51.836	19060498	sulpiride 50 MG Oral Capsule	246590	EXACT
51.889	40066620	oxymetazoline Nasal Spray	374488	BROAD
51606	1790815	chlorhexidine gluconate 40 MG/ML Medicated Liquid Soap	211365	
51794	19127007	carbidopa 25 MG / levodopa 250 MG Oral Tablet [Sinemet]	724602	EXACT
52.010	1125393	acetaminophen 650 MG Oral Tablet	198444	EXACT
52.047	19000852	bumetanide 1 MG Oral Tablet [Burinex]	102278	EXACT
52.146	40012159	benserazide / levodopa Oral Tablet	371012	BROAD
52.180	19026066	baclofen 10 MG Oral Tablet [Lioresal]	202109	
52.181	19021513	baclofen 25 MG Oral Tablet	199280	
52.333	19060330	clonazepam 2.5 MG/ML Oral Solution	246306	
52.334	19011608	clonazepam 0.5 MG Oral Tablet [Rivotril]	141953	EXACT
52.371	1713332	amoxicillin	723	BROAD
52.373	1713520	amoxicillin 25 MG/ML Oral Suspension	313797	EXACT
52.401	19025738	clonazepam 2 MG Oral Tablet [Rivotril]	201735	EXACT
52.404	1356108	albuterol Inhalation Solution	2108226	BROAD
52.574	19057161	ethinyl estradiol 0.03 MG / levonorgestrel 0.15 MG Oral Tablet	238019	
52.612	19057161	ethinyl estradiol 0.03 MG / levonorgestrel 0.15 MG Oral Tablet	238019	
52.624	19018880	clotrimazole 100 MG Vaginal Insert	197530	EXACT
52.625	19075604	clotrimazole 10 MG/ML Topical Solution	309370	EXACT
52.626	19012748	clotrimazole 10 MG/ML Topical Cream [Canesten]	151010	EXACT
52.638	42482497	Urokinase Injection	OMOP418717	BROAD
52.664	40223859	hydrocortisone 10 MG/ML / miconazole nitrate 20 MG/ML Topical Cream	998553	EXACT
52.691	19010795	cyproterone 50 MG Oral Tablet	199453	EXACT
52.806	21143258	Acetaminophen 500 MG Oral Capsule by Zentiva	OMOP406560	
52.810	35130061	Beclomethasone Inhalation Solution	OMOP4787320	BROAD
52.873	19061623	calcium carbonate 680 MG / magnesium carbonate 80 MG Chewable Tablet	249097	EXACT
52.994	19059357	ferrous sulfate 250 MG Extended Release Oral Tablet	244206	BROAD
52112	790253	clorazepate	2353	BROAD
52549	19076626	disopyramide 100 MG Oral Capsule	309958	EXACT
5255	35143248	Codeine Oral Powder	OMOP4800353	BROAD
52568	1702560	tinidazole 500 MG Oral Tablet	199519	EXACT
53.010	1154343	albuterol	435	BROAD
53.025	19003964	cinnarizine 75 MG Oral Capsule	104433	EXACT
53.032	40238273	flavoxate hydrochloride 200 MG Oral Tablet	1095234	EXACT
53.064	40220357	1000 ML sodium chloride 9 MG/ML Injection	1807639	EXACT
53.123	42937947	Glucose 100 MG/ML Injectable Solution	OMOP4664627	EXACT
53.130	19006209	piracetam 800 MG Oral Tablet	105020	EXACT
53.167	19046654	piracetam	8351	BROAD
53.172	19019524	penicillamine 250 MG Oral Capsule	198070	EXACT
53.193	44046204	Betamethasone 0.00064 MG/MG Topical Cream	OMOP1040835	EXACT
53.201	40181756	estradiol valerate 2 MG	978942	BROAD
53.202	35606540	methylprednisolone 500 MG Injection [Solu-Medrol]	1743722	EXACT
53.203	35606532	methylprednisolone Injection	1743703	BROAD
53.338	978557	indapamide 2.5 MG Oral Tablet	197816	EXACT
53.555	19019113	lorazepam 1 MG Oral Tablet	197901	EXACT
53.560	19030353	bromazepam	1749	BROAD
53.587	19025172	methyldopa 500 MG Oral Tablet [Aldomet]	201358	EXACT
53.623	19073188	amoxicillin 500 MG Oral Tablet	308192	EXACT
53.626	1713370	amoxicillin 50 MG/ML Oral Suspension	239191	EXACT
53.782	43783772	Glycerin Rectal Solution	OMOP958557	BROAD
53.833	43783772	Glycerin Rectal Solution	OMOP958557	BROAD
53063	36249588	glucose / sodium chloride Injection	1794561	EXACT
53064	40220357	1000 ML sodium chloride 9 MG/ML Injection	1807639	EXACT
53141	1560744	glucose 220 MG/ML Injectable Solution	347823	EXACT
53265	40177826	amiloride hydrochloride 5 MG / hydrochlorothiazide 50 MG Oral Tablet	977883	EXACT
53366	19103714	nicergoline 5 MG Oral Capsule	411536	EXACT
53434	40171851	verapamil hydrochloride 120 MG Extended Release Oral Tablet [Isoptin]	897693	EXACT
53848	36272051	Penicillin G Intramuscular Solution	OMOP3122926	BROAD
53900	19022053	mebeverine 135 MG Oral Tablet	199580	
54.213	40050299	isoniazid / rifampin Oral Capsule	372508	BROAD
54.246	19060300	naproxen 250 MG Oral Capsule	246241	EXACT
54.276	40244026	naloxone hydrochloride 0.4 MG/ML Injectable Solution	1191222	EXACT
54.341	35605339	ampicillin Injection	1721470	EXACT
54.407	19007738	mianserin 10 MG Oral Tablet	199484	
54.445	1185927	ketoprofen 50 MG Oral Capsule	197855	EXACT
54.503	40167202	metoprolol tartrate 100 MG Oral Tablet	866511	EXACT
54.527	40169685	labetalol hydrochloride 100 MG Oral Tablet [Trandate]	896777	EXACT
54.528	40169691	labetalol hydrochloride 200 MG Oral Tablet [Trandate]	896781	EXACT
54.553	19091102	calcium dobesilate 500 MG Oral Capsule	249269	EXACT
54.626	19024414	amoxicillin 500 MG Oral Capsule [Amoxil]	200998	EXACT
54.633	730551	bromocriptine 2.5 MG Oral Tablet	197411	EXACT
54.674	1356213	ipratropium Inhalation Solution	2108449	BROAD
54.713	19046654	piracetam	8351	BROAD
